CodeA,CodeVR,DateV,DureeVol,NbrPassagersEco,NbrPassagersAffaire,NbrPassagersPremiere,ChargeKerosene,ChargeTotale
AF1003,AF181,2024-01-01,4.78,201,37,14,15.5,33.48
DL2002,DL101,2024-01-01,2.3,98,18,7,5.94,21.94
LH4001,LH300,2024-01-01,4.28,313,58,21,11.12,46.0
AC6001,AC500,2024-01-02,10.46,78,14,6,39.24,1.0
IB3001,IB201,2024-01-02,4.16,141,26,10,14.34,24.67
JL7001,JL600,2024-01-02,8.04,152,28,10,26.64,24.06
AF1001,AF181,2024-01-03,6.26,79,14,6,22.17,8.23
AF1004,AF180,2024-01-03,10.11,130,24,9,39.69,1.31
BA5001,BA400,2024-01-03,2.65,137,25,10,7.13,23.05
DL2001,DL100,2024-01-03,8.88,156,29,11,33.24,24.59
IB3001,IB201,2024-01-03,10.0,89,16,7,28.15,12.85
AF1001,AF181,2024-01-04,9.74,113,21,8,24.99,5.41
AF1002,AF182,2024-01-04,9.69,185,34,13,32.15,32.22
DL2002,DL101,2024-01-04,4.58,123,23,8,17.37,19.24
IB3001,IB200,2024-01-04,5.56,140,26,10,21.91,19.09
AF1001,AF180,2024-01-05,5.28,114,21,8,20.36,10.04
JL7001,JL600,2024-01-05,5.44,173,32,12,18.62,25.44
LH4001,LH301,2024-01-05,3.59,396,74,25,9.51,54.77
AC6001,AC500,2024-01-06,7.22,99,18,7,21.5,10.5
AF1003,AF180,2024-01-06,1.96,120,22,9,5.88,22.58
DL2001,DL101,2024-01-06,5.63,130,24,9,17.18,19.16
IB3001,IB201,2024-01-06,2.83,149,28,10,9.6,20.04
AF1001,AF182,2024-01-07,7.99,82,15,6,24.72,5.68
AF1002,AF181,2024-01-07,11.21,230,43,15,29.23,38.37
DL2002,DL101,2024-01-07,5.88,165,31,11,15.72,30.64
AC6001,AC500,2024-01-08,3.62,96,18,7,12.28,14.85
AF1002,AF182,2024-01-08,6.67,231,43,15,26.26,37.89
BA5001,BA400,2024-01-08,3.83,152,28,11,10.58,20.41
JL7001,JL600,2024-01-08,6.33,143,26,10,17.82,26.86
DL2002,DL100,2024-01-09,7.86,138,25,10,30.39,25.85
IB3001,IB200,2024-01-09,4.74,153,28,11,15.07,22.68
JL7001,JL600,2024-01-09,6.56,117,22,8,18.72,17.99
AF1001,AF180,2024-01-10,5.69,92,17,7,18.59,11.81
DL2001,DL101,2024-01-10,11.74,106,19,8,36.93,18.6
AF1001,AF180,2024-01-11,2.96,91,17,6,8.57,19.95
AF1002,AF182,2024-01-11,5.86,151,28,10,16.32,27.48
AF1004,AF181,2024-01-11,9.6,137,25,10,32.71,8.29
JL7001,JL600,2024-01-11,8.38,106,19,8,29.3,19.93
AF1001,AF182,2024-01-12,1.28,100,18,8,3.31,17.11
BA5001,BA400,2024-01-12,11.91,166,31,11,45.79,25.65
IB3001,IB200,2024-01-12,7.22,114,21,8,18.25,15.71
JL7001,JL600,2024-01-12,2.17,169,31,12,7.03,24.04
LH4001,LH301,2024-01-12,3.5,304,57,19,10.71,43.87
AF1001,AF180,2024-01-13,1.43,66,12,5,5.51,16.63
AF1002,AF180,2024-01-13,7.76,231,43,15,27.67,32.44
AF1004,AF181,2024-01-13,11.63,104,19,8,37.5,3.5
BA5001,BA400,2024-01-13,7.73,185,34,13,27.09,25.41
DL2001,DL100,2024-01-13,7.75,172,32,11,28.67,25.55
AF1002,AF180,2024-01-14,6.94,132,24,10,26.8,25.39
BA5001,BA400,2024-01-14,10.07,114,21,8,28.89,22.79
DL2001,DL100,2024-01-14,11.85,101,19,7,42.08,19.94
JL7001,JL600,2024-01-14,10.15,154,28,11,34.91,27.39
LH4001,LH300,2024-01-15,8.36,399,74,26,22.26,55.46
AC6001,AC500,2024-01-16,1.57,88,16,6,5.24,15.91
DL2002,DL100,2024-01-16,9.19,105,19,8,31.67,17.79
AF1001,AF182,2024-01-17,9.36,112,21,7,33.21,1.0
AF1002,AF182,2024-01-17,3.2,228,42,16,8.3,35.2
AF1003,AF181,2024-01-17,9.89,131,24,9,37.12,22.84
DL2002,DL101,2024-01-17,1.17,160,30,10,4.29,25.6
IB3001,IB200,2024-01-17,3.72,84,15,7,10.82,19.16
JL7001,JL600,2024-01-17,6.77,180,33,12,21.86,25.54
LH4001,LH301,2024-01-19,8.64,290,54,19,22.37,43.47
DL2002,DL100,2024-01-20,4.2,84,15,7,10.57,11.76
LH4001,LH301,2024-01-20,11.85,216,40,15,41.08,28.95
AF1002,AF182,2024-01-21,1.16,140,26,9,4.45,18.68
AF1003,AF180,2024-01-21,5.5,186,34,13,21.89,26.13
DL2001,DL101,2024-01-21,8.6,192,36,12,25.27,33.34
AF1001,AF181,2024-01-22,1.27,67,12,5,4.26,9.62
BA5001,BA400,2024-01-22,3.09,101,19,7,7.85,20.13
AF1004,AF180,2024-01-23,3.93,102,19,7,12.72,15.15
DL2001,DL101,2024-01-23,11.1,124,23,9,43.82,20.87
JL7001,JL600,2024-01-23,10.87,109,20,8,32.82,16.05
LH4001,LH301,2024-01-23,7.33,365,68,24,18.73,53.95
AF1003,AF180,2024-01-24,9.34,127,23,9,35.77,17.59
AF1004,AF180,2024-01-24,7.47,87,16,6,19.53,20.5
BA5001,BA400,2024-01-24,6.15,167,31,11,16.68,25.87
AF1002,AF182,2024-01-25,2.96,172,32,11,9.64,27.3
DL2002,DL100,2024-01-25,7.38,107,20,7,18.8,16.89
AF1001,AF180,2024-01-26,4.57,99,18,7,16.36,14.04
AF1002,AF181,2024-01-26,5.39,183,34,12,17.09,32.87
BA5001,BA400,2024-01-26,6.9,131,24,9,19.67,25.41
JL7001,JL600,2024-01-26,9.25,163,30,11,28.9,21.83
