CodeA,Modele,Constructeur,NbrSieges,ChargeMax,PoidsAVide,AnneeAchat,CodeTy,CodeC
AF1001,A320,Airbus,150,73.5,42.6,2015,1,AF
AF1002,A350,Airbus,324,280.0,156.0,2020,2,AF
AF1003,B777,Boeing,300,299.3,167.8,2018,2,AF
AF1004,A321,Airbus,200,89.0,47.5,2019,1,AF
DL2001,A330,Airbus,250,242.0,120.0,2020,2,DL
DL2002,B767,Boeing,210,186.8,90.0,2016,2,DL
IB3001,A321,Airbus,200,89.0,47.5,2019,1,IB
LH4001,A380,Airbus,500,575.0,277.0,2014,2,LH
BA5001,B787,Boeing,242,227.9,119.9,2021,2,BA
AC6001,A220,Airbus,130,67.5,35.0,2022,3,AC
JL7001,B787,Boeing,242,227.9,119.9,2017,2,JL
CA8001,A330,Airbus,250,242.0,120.0,2018,2,CA
