CodeA,CodeVR,DateV,DureeVol,NbrPassagersEco,NbrPassagersAffaire,NbrPassagersPremiere,ChargeKerosene,ChargeTotale
AF1001,AF180,2025-01-01,1.5,100,20,0,5.0,15.0
AF1001,AF180,2025-01-02,1.5,110,15,0,5.0,16.0
AF1001,AF180,2025-01-03,1.5,90,25,0,5.0,14.5
AF1001,AF180,2025-01-04,1.5,120,10,0,5.0,17.0
AF1001,AF180,2025-01-05,1.5,80,30,0,5.0,13.5
AF1001,AF180,2025-01-06,1.5,105,18,0,5.0,15.2
AF1001,AF180,2025-01-07,1.5,95,22,0,5.0,14.8
AF1002,AF181,2025-01-07,8.5,200,50,10,60.0,85.0
AF1002,AF181,2025-01-14,8.5,190,45,12,60.0,83.0
AF1002,AF181,2025-01-21,8.5,210,55,8,60.0,87.0
AF1002,AF181,2025-01-28,8.5,195,48,9,60.0,84.0
AF1003,AF182,2025-01-10,2.1,150,30,0,8.0,22.0
AF1003,AF182,2025-01-11,2.1,160,20,0,8.0,21.0
AF1003,AF182,2025-01-12,2.1,140,40,0,8.0,23.0
AF1003,AF182,2025-01-13,2.1,155,25,0,8.0,21.5
AF1003,AF182,2025-01-14,2.1,165,15,0,8.0,20.5
AF1003,AF182,2025-01-15,2.1,145,35,0,8.0,22.5
AF1004,AF180,2025-02-01,1.5,130,20,0,5.2,18.0
AF1004,AF180,2025-02-02,1.5,140,10,0,5.2,19.0
DL2001,DL100,2025-01-15,8.0,180,40,0,55.0,75.0
DL2001,DL100,2025-01-16,8.0,170,45,0,55.0,76.0
DL2001,DL100,2025-01-17,8.0,190,35,0,55.0,74.0
DL2002,DL101,2025-01-20,7.5,160,30,0,50.0,70.0
DL2002,DL101,2025-01-21,7.5,155,35,0,50.0,71.0
IB3001,IB200,2025-02-01,2.5,150,10,0,10.0,20.0
IB3001,IB201,2025-01-05,3.0,140,15,0,12.0,22.0
LH4001,LH300,2025-01-05,1.2,300,50,10,12.0,45.0
LH4001,LH300,2025-01-06,1.2,320,40,8,12.0,46.0
LH4001,LH301,2025-01-10,8.2,0,0,0,65.0,95.0
BA5001,BA400,2025-01-11,7.0,150,40,5,45.0,60.0
BA5001,BA400,2025-01-18,7.0,160,35,8,45.0,62.0
AC6001,AC500,2025-03-01,7.5,100,10,0,40.0,45.0
JL7001,JL600,2025-01-15,12.5,180,40,10,85.0,110.0
JL7001,JL600,2025-01-16,12.5,175,45,8,85.0,108.0
