CodeVR,Frequence,Distance,HeureDepart,HeureArrivee,CodeAP_Dep,CodeAP_Arr,CodeCa,CodeC
AF180,Quotidien,600,08:00:00,09:25:00,TLS,CDG,1,AF
AF181,Hebdomadaire,5800,10:00:00,13:30:00,CDG,JFK,1,AF
AF182,Quotidien,1050,07:15:00,09:20:00,CDG,MAD,1,AF
DL100,Quotidien,5800,18:00:00,07:30:00,JFK,CDG,1,DL
DL101,Quotidien,6200,20:00:00,09:00:00,JFK,LHR,1,DL
IB200,Mensuel,1300,14:00:00,16:30:00,MAD,FCO,1,IB
IB201,Hebdomadaire,1700,09:00:00,11:30:00,MAD,LHR,1,IB
LH300,Quotidien,450,06:30:00,07:45:00,FRA,CDG,1,LH
LH301,Spécifique,6000,23:00:00,08:00:00,FRA,JFK,2,LH
BA400,Quotidien week end,5500,11:00:00,14:00:00,LHR,JFK,1,BA
AC500,Mensuel,5500,22:00:00,06:00:00,YUL,CDG,1,AC
JL600,Quotidien,9700,10:30:00,16:15:00,HND,CDG,1,JL
